<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
190212;000000;161.5;163.68;160.75;163.68;14959180
190213;000000;163.94;164.28;159.27;159.27;21976740
190214;000000;157.35;158.74;155.15;155.15;38217060
190215;000000;155.99;159.04;155.89;159.04;24534440
190218;000000;159.25;159.9;156.14;156.43;17714880
190219;000000;156.49;157.14;153.36;154.03;20048780
190220;000000;154.67;155.66;153.67;154.43;21132090
190221;000000;154.84;155.41;153.01;153.5;15195440
190222;000000;153.51;155.65;153.49;154.64;13174630
190225;000000;155.01;155.37;153.56;154.6;14729430
190226;000000;153.92;155.36;152.82;155.36;18264040
190227;000000;155.7;157.15;154.82;156.4;19613350
190228;000000;156.37;159.25;156.02;158.99;34637820
190301;000000;158.92;159.55;156.31;156.71;21869220
190304;000000;156.75;156.76;154.4;154.4;17191730
190305;000000;154.04;154.65;153.11;153.2;20106870
190306;000000;153.35;154.45;153.07;154.2;17118260
190307;000000;154;154.19;151.58;151.9;19664780
190311;000000;151.9;152.47;150.51;151.6;19475200
190312;000000;152.24;152.95;150.84;151.64;15459330
190313;000000;151.25;153.3;150.66;153.3;18541850
190314;000000;153.35;154.4;152.53;152.68;19954820
190315;000000;152.98;154.56;152.11;154.56;33323370
190318;000000;154.17;156.48;153.6;155.84;22046180
190319;000000;155.84;156.45;154.6;155.5;17522800
190320;000000;155.54;156.14;154;156.09;20074900
190321;000000;156.3;156.7;154.52;155.33;28106530
190322;000000;155.02;155.02;151.85;152.29;23196800
190325;000000;151.22;152.29;150.72;152.29;22489970
190326;000000;151.99;152.91;150.83;151.12;21606970
190327;000000;150.9;151.44;149.03;149.49;23876030
190328;000000;149.68;150.75;148.83;149.98;16368070
190329;000000;150.17;151.64;149.13;149.61;26427080
190401;000000;150.27;154.81;149.92;154.53;37014640
190402;000000;154.85;155.8;153.3;155;30932830
190403;000000;155.35;157.58;155.31;156.99;33767480
190404;000000;156.8;158.89;156.4;158.89;22962870
190405;000000;158.37;159.5;157.87;158.6;22836310
190408;000000;158.87;160.88;158.87;160.5;25792120
190409;000000;160.45;163.35;159.8;162.7;40138250
190410;000000;162.4;164.95;162.12;162.88;38948440
190411;000000;162.37;162.95;158.04;158.04;44918320
190412;000000;158.57;160.46;157.9;159.12;29292480
190415;000000;160;160.6;157.62;158.33;18161810
190416;000000;158.99;163.42;158.21;162.24;27268370
190417;000000;163;165.4;162.4;164;28383560
190418;000000;163.62;163.79;160.85;161.79;19619030
190419;000000;161.94;162.57;161.5;162.57;3846150
190422;000000;163.21;164.34;162.76;163.5;8932150
190423;000000;163.58;163.85;160.91;162.42;15143870
190424;000000;162.93;163.07;159.18;160.57;25714110
190425;000000;160.19;160.95;158.8;159.31;21705450
190426;000000;159.05;161;158.58;161;17621560
190429;000000;161.2;164.74;160.68;163.93;31180350
190430;000000;164.03;165.4;163.01;163.95;31318480
190502;000000;163.67;166.85;163.67;165.71;20687740
190503;000000;166.21;166.98;165.83;166.31;13220120
190506;000000;164.98;165.45;163.34;165.45;15413420
190507;000000;165.01;166.27;164.21;164.21;19239460
190508;000000;164.49;165.44;163.55;163.57;17864410
190510;000000;163.61;164.9;162.62;163.61;16115500
190513;000000;163.54;164.34;163;163;16929890
190514;000000;163;190.9;162.65;189.67;182155530
190515;000000;193.03;198.4;192.29;195.61;135042030
190516;000000;194.61;203.45;194.24;202.7;99939840
190517;000000;201.81;202.3;197.71;198.89;49498930
190520;000000;200.2;201.48;198.3;200.8;27257450
190521;000000;201.4;210.98;199.01;207.8;90723200
190522;000000;208.92;210.11;206.33;208.1;34914980
190523;000000;207.1;212.18;205.84;208.86;54423660
190524;000000;209.49;210.2;203.76;204.5;28977610
190527;000000;204.25;206.6;200.84;206.2;28108030
190528;000000;206;206;201;203.13;61116250
190529;000000;202.1;207.69;201.11;207.14;42885290
190530;000000;207.9;216.45;207.57;213.1;77165630
190531;000000;212;215.27;210.05;215.1;43583100
190603;000000;214.4;251.65;213.5;235.51;218623740
190604;000000;233.5;235.59;223.52;230.16;109468310
190605;000000;230.25;233.3;228.04;230.01;40189180
190606;000000;230;236.62;228.71;231.45;55255260
190607;000000;233.13;233.77;230;230.5;42161970
190610;000000;230.96;234.3;230.4;232.1;30561990
190611;000000;232.33;237.63;231.13;234.86;44830680
190613;000000;233.74;237.35;233.01;234.44;35344770
190614;000000;234.38;235.44;231.26;231.51;25324550
190617;000000;231.55;234.44;229.63;229.81;32323620
190618;000000;229.68;232.3;228.3;232.13;32150900
190619;000000;232.5;235.42;232;232.46;31792020
190620;000000;234;234.45;231.45;232.52;44745000
190621;000000;232.5;232.52;228.85;229.09;47026920
190624;000000;229.54;233.04;229.47;232.38;22048370
190625;000000;232.02;232.19;229.64;232.09;21479600
190626;000000;232.52;233.6;232;233.1;19194980
190627;000000;233.01;234.93;232.6;232.6;22173120
190628;000000;233.21;235.47;232.35;232.83;42417300
190701;000000;234.16;248.43;234.1;245.5;79789230
190702;000000;246.25;249.26;243.7;246.65;31516910
190703;000000;246.01;251.6;245.55;251.6;44695140
190704;000000;251.6;256.4;250.61;255.35;43456600
190705;000000;255.2;255.96;250.12;250.89;36201160
190708;000000;250.11;250.96;245.2;248.51;39287950
190709;000000;248.65;252.93;247.71;250.17;32399700
190710;000000;250.65;251.48;248.8;250.21;32997900
190711;000000;250.21;250.69;245;247.2;42946890
190712;000000;247.07;247.8;244;245.5;21518430
190715;000000;246.98;248.08;240.1;240.3;35954500
190716;000000;240.1;240.4;235.83;238.01;40808070
190717;000000;223.56;224.03;218.63;220.19;49159480
190718;000000;219;219.8;215.77;218.3;30832300
190719;000000;219.49;220.43;215.37;216;19994180
190722;000000;215.96;220;214.1;217.12;33671480
190723;000000;217.5;221.17;216.76;217.39;34688860
190724;000000;218.47;218.47;210.51;212;44472730
190725;000000;208;228.94;206;219;168276260
190726;000000;217;236;217;234.23;180746030
190729;000000;234.12;238.7;231.83;236.73;50392430
190730;000000;236.2;237.13;232.37;237.1;43909750
190731;000000;237.43;239.64;234.44;236.9;45390530
190801;000000;234.54;237.34;233.29;234.28;31214130
190802;000000;231.2;233.17;227.91;227.91;59088400
190805;000000;225.98;228;222.3;223.61;53274790
190806;000000;223.62;227.78;223.62;226.76;30408050
190807;000000;226.92;232.67;225.5;227.67;49674350
190808;000000;230.56;233.54;230.43;231.21;29462320
190809;000000;231.45;232.26;228.91;229.96;18511340
190812;000000;231.01;232.97;229.29;230.24;15899440
190813;000000;229.81;232.16;226.46;229.87;35141330
190814;000000;231.1;231.19;224.58;227.1;35810650
190815;000000;227.65;229.7;224.89;227.15;32261660
190816;000000;228.35;229.38;224.08;224.71;25088600
190819;000000;226;227.2;223.65;226.8;19071590
190820;000000;226.79;232.32;226.15;231.54;34614850
190821;000000;231.72;232.32;230.5;231.22;20484120
190822;000000;231;233.98;230.21;232.06;26482270
190823;000000;232.68;233.04;228.93;229.35;28995640
190826;000000;228.8;230.6;228.05;228.9;10989680
190827;000000;228.92;229.28;223;227;55755870
190828;000000;226.52;228.64;224.88;228.48;32501460
190829;000000;228.87;235.25;228.67;233.2;47541460
190830;000000;233.67;233.85;231.07;232.15;21999850
190902;000000;231.93;234.22;230.5;233.67;19247230
190903;000000;233.4;233.6;229.96;231.02;20644460
190904;000000;232.7;234.78;232.18;233.71;27460870
190905;000000;234.64;238.17;234.64;236.18;29825470
190906;000000;235.8;235.97;232.38;234.49;24958710
190909;000000;235.01;235.62;233;234.85;16605360
190910;000000;234.5;235.1;232.02;233;24030270
190911;000000;233.03;235.38;232.2;235.07;27067670
190912;000000;234.4;235.28;231.51;232.88;28919220
190913;000000;232.6;233.41;230.8;232.5;17924170
190916;000000;233.92;234.88;232.57;234.88;29088960
190917;000000;234.59;235.17;232.36;233.58;28290430
190918;000000;233;233.96;232.3;233.46;12241830
190919;000000;233.2;233.28;230.06;230.52;31656770
190920;000000;230.75;231;228.5;230.41;34630870
190923;000000;230.51;231.25;228.87;230.36;16853630
190924;000000;230.4;230.68;227.19;227.7;22360090
190925;000000;227.05;228.7;225.76;228.43;22023600
190926;000000;228.74;233.7;228.31;231.97;40372280
190927;000000;231.95;232.14;229.01;229.01;13552170
190930;000000;229.03;229.46;225.9;225.9;26468400
191001;000000;225.99;227.7;225.17;226.49;16729200
191002;000000;226.2;226.65;223.25;223.6;31853130
191003;000000;223.55;224.89;220.79;223.1;29947650
191004;000000;224.3;224.65;221.24;221.66;21983910
191007;000000;221.86;226.81;220.68;226.36;22368580
191008;000000;226.55;227.7;222.71;223.2;22250070
191009;000000;223.1;224.71;221.72;223.18;14900260
191010;000000;222.99;224.93;222.27;224.5;14656590
191011;000000;225.01;227.5;224.82;227.37;18254680
191014;000000;227.38;228.61;225.5;226;14629550
191015;000000;225.99;227.15;224.06;226;18143980
191016;000000;225.85;227.9;225.11;227.7;17795440
191017;000000;227.66;228.6;226;228;21404300
191018;000000;227.88;228.9;227.2;228;16558440
191021;000000;228.24;229.11;227.31;228.54;14398380
191022;000000;228.59;235.36;228.28;235.36;42863380
191023;000000;234.86;237.67;233.16;236.2;39572590
191024;000000;236.46;244;236.46;243.94;47588820
191025;000000;244.17;247.4;239.5;246.71;43854890
191028;000000;247.34;249.96;242.7;244.4;34900700
191029;000000;244.03;253.69;241.4;253.1;70808570
191030;000000;252.85;265.26;252.01;261.6;97799760
191031;000000;262.29;267.4;257;260;89611990
191101;000000;260.11;264.28;256.35;263.79;50894990
191105;000000;266.02;267.53;261.31;263;36659860
191106;000000;263.11;266.98;258.91;266.98;37682320
191107;000000;266.01;272.68;264.66;270.74;56144120
191108;000000;269.9;270.2;264.45;266;33408610
191111;000000;265;265.45;259.8;260.4;42759010
191112;000000;260.82;264.57;256.13;257.25;61477030
191113;000000;256.11;257.19;250.79;251.8;87751920
191114;000000;252.55;253.46;244.8;248.34;127648980
191115;000000;248.5;250.47;245;248.01;89282030
191118;000000;250.01;250.4;245.62;246.15;52569520
191119;000000;246.5;248.7;244.32;248.01;66007160
191120;000000;246.94;254.89;245.58;248;199141170
191121;000000;252;259.8;250.01;254.35;221190060
191122;000000;253.12;257.72;250.13;251.99;92136720
191125;000000;252.12;256.17;251.46;255.2;47749490
191126;000000;255.6;257.41;252.01;254;70125370
191127;000000;253.8;255.85;252.25;253.89;37656880
191128;000000;253.48;254.43;251.35;254;29765820
191129;000000;253.89;257.54;251.86;257.54;53273480
191202;000000;258.45;263.4;254.05;254.05;70123970
191203;000000;253.2;254.14;247.09;247.93;75267070
191204;000000;248.5;251.96;246.4;248.93;59259200
191205;000000;249.5;250.3;244.77;246.36;61673820
191206;000000;246.5;248.25;245.39;247.83;44833820
191209;000000;247.98;250.22;247.4;248.7;32380540
191210;000000;248.9;250.15;246.5;246.9;34789240
191211;000000;246.84;248.69;246.84;247.34;31231740
191212;000000;247.64;254.66;247.35;250.48;78677990
191213;000000;251.11;252.48;248.8;249.5;41751940
191216;000000;249.9;252.22;249.2;250.78;29595580
191217;000000;251.24;252.86;250.8;252.05;31630020
191218;000000;252;252.71;250.85;251.29;29136980
191219;000000;250.95;252.3;249.4;251.4;37352350
191220;000000;252.71;256.58;252.22;255.5;60113390
191223;000000;251.5;255.2;251.11;255;37646820
191224;000000;255.6;257.71;254.26;254.87;22751750
191225;000000;254.9;255.49;253.02;253.25;12305460
191226;000000;253.45;254.24;252.5;254.1;10875580
191227;000000;254.33;257.49;254;257.11;24199940
191230;000000;257.09;258.3;254.71;256.4;23474000
200103;000000;259.1;261.9;257.77;259;34326290
200106;000000;258.91;258.96;254.8;256.55;28106710
200108;000000;256.25;257.32;254.77;255.79;25566970
200109;000000;255.66;256.68;251.82;254.07;33194830
200110;000000;253.99;254.6;251.2;251.9;28545590
200113;000000;252.5;252.5;248.4;251.5;41334580
200114;000000;252;253.2;249;250;32866650
200115;000000;249.5;252.5;247.75;251.3;43936180
200116;000000;251.87;254.54;251.5;254.26;38394410
200117;000000;254.76;256.6;253.8;255.39;42028610
200120;000000;255.65;256.1;253.01;253.5;29957470
200121;000000;253.37;253.4;250.88;252.99;26873610
200122;000000;252.81;253.39;248.1;248.1;38825260
200123;000000;246.9;247.66;239.01;239.3;73654660
200124;000000;240.12;243.25;235.28;237.95;68994040
200127;000000;235.01;235.4;229.65;230.96;104948220
200128;000000;232.61;237.59;229;235;85405890
200129;000000;236.9;237.36;231.3;232;52589600
200130;000000;230.7;232.49;229.45;231.53;41451560
200131;000000;232.53;233.79;226.57;226.7;70264920
200203;000000;223.81;229.98;223.8;227.64;53572940
200204;000000;228.47;231.08;226.65;230.5;45301220
200205;000000;230.89;235.73;228.8;232.56;61685530
200206;000000;234.04;236;230.15;231.38;42561470
200207;000000;232.38;233.39;227.14;229.11;49649900
200210;000000;228.58;229.75;224.41;225.2;50466570
200211;000000;226.56;236.18;226.01;233.9;95547840
200212;000000;235.2;239.8;234.56;238.03;83138320
200213;000000;236.9;237.98;233.55;233.55;41949600
200214;000000;233.79;235.4;230.91;232.5;34339380
200217;000000;233.4;234.56;231.91;233.75;20525270
200218;000000;232.97;233.28;229.8;230.5;30822280
200219;000000;231.84;233.5;230.71;231.9;24383830
200220;000000;232.55;235.75;232;234.6;33547100
200221;000000;233.2;233.77;231.61;232;29613730
200225;000000;227.99;230.06;224.68;224.68;51889790
200226;000000;223.32;225.47;220.81;224.76;63577060
200227;000000;220.99;223.4;216.8;217.5;82610580
200228;000000;210;211.97;200.57;202.65;168877890
200302;000000;207.99;211.99;195.51;198.78;151413660
200303;000000;204.78;205.27;198;201.48;104199970
200304;000000;199.9;204.42;198.28;200;78621910
200305;000000;203;203.43;197.5;198;65760320
200306;000000;193.49;194.23;185.13;188.27;131420850
200310;000000;169.45;185.84;161.01;171;203245560
200311;000000;173.98;175.87;167.39;172.03;108371760
200312;000000;163.4;167.8;161.2;163.73;150756610
200313;000000;164.08;175.69;164.02;166.1;142833320
200316;000000;163.56;169.99;158.17;168.07;115641980
200317;000000;168.96;175.5;164.56;167;108041540
200318;000000;164.9;170.45;162;166.34;105950660
200319;000000;168.77;175.2;164.05;174.56;121970230
200320;000000;179.98;184.69;176.1;176.26;139598470
200323;000000;171.03;172.28;168.04;168.35;108969290
200324;000000;174.36;179.99;172.61;177.95;89246570
200325;000000;182.8;186.9;175.26;180.2;114425820
200326;000000;179.45;184.9;177.28;181.5;53884430
200327;000000;181.2;181.37;172;174.5;55565750
200330;000000;171.99;177.63;170.5;176.44;47795640
200331;000000;178.5;184.64;178.01;181.41;69708850
200401;000000;178.05;181.38;177.5;180.06;40356500
200402;000000;183.8;190;180.25;187.04;87685660
200403;000000;187.03;193.85;185.72;189.77;92292440
200406;000000;192.25;193.44;189.44;191.1;62810660
200407;000000;192.72;195.13;189.8;191.22;66726560
200408;000000;189.75;194.11;188.1;194.11;49196260
200409;000000;195.69;196.26;189.88;193.86;84196490
200410;000000;191.86;192.44;190.51;192;16941950
200413;000000;192.25;192.36;186.07;188.07;28468270
200414;000000;189.57;191.76;188.3;190.11;50604120
200415;000000;189.16;189.48;182.56;184.25;53684360
200416;000000;185.15;189.16;182.75;184.3;56338120
200417;000000;187.07;187.87;183.54;184.68;38709150
200420;000000;184.11;186.25;183;185.51;34244800
200421;000000;183.17;184.5;179.05;181.92;66847460
200422;000000;181.09;188.55;180.33;188.36;48244280
200423;000000;189.98;191.59;187.5;188.73;39797620
200424;000000;187.94;187.95;185.1;185.71;36685880
200427;000000;186.53;188.47;185.69;186.29;23536090
200428;000000;185.93;190.65;185.76;188.5;44154560
200429;000000;189.78;195.23;188.53;193.87;56201200
200430;000000;195.44;196.2;189.62;190;72061970
200504;000000;188;188.17;184.52;185.7;42833330
200505;000000;188.39;190.39;187.3;190;39562120
200506;000000;190.53;191.05;187.05;187.05;46377880
200507;000000;187.52;190.3;185.5;185.85;67256130
200508;000000;186.34;186.64;183.1;185.34;60934480
200512;000000;184.88;187.2;183.2;186.17;49892900
200513;000000;185.55;185.55;183.8;184.2;33177080
200514;000000;183.27;184.85;181.68;183.91;49343510
200515;000000;185.62;186.98;183.85;183.85;47863870
200518;000000;185.4;192.5;185.14;192.5;60009590
200519;000000;193;194.39;191.1;194.2;60258130
200520;000000;193.57;197.27;192.79;196.74;73790890
200521;000000;196.1;199.26;191.4;194.74;90059720
200522;000000;194;195.76;192.21;194.35;42278710
200525;000000;195.21;197.55;195.11;197.55;20030490
200526;000000;198.8;202.3;196.3;196.86;65940550
200527;000000;196.1;197.75;193.15;194.73;55228910
200528;000000;194.4;196.98;194.17;196.86;39920270
200529;000000;196.25;199.95;193.2;199.95;172617900
200601;000000;200.25;202.47;197.15;198.72;54163710
200602;000000;199.48;202.19;198.72;201.97;45255750
200603;000000;203.1;208.15;202.01;208;65058830
200604;000000;207.99;207.99;200.6;201.46;72176320
200605;000000;202.56;204.84;201.51;203.05;44798190
200608;000000;204.95;206.5;202.97;204.91;40076610
200609;000000;205.41;206.1;201.57;204.84;35361030
200610;000000;204.88;205.27;200.53;201.75;41510100
200611;000000;200.19;200.19;195.15;196.74;48834830
200615;000000;193.85;196.15;191;194.2;54158910
200616;000000;196.06;199.59;195.2;196.59;43322650
200617;000000;197.72;199.08;195.21;195.86;34389160
200618;000000;195.44;195.57;191.85;193;45807200
200619;000000;194.17;196.07;193.82;195.81;45158120
200622;000000;195.35;195.35;192.62;194.3;36763320
200623;000000;194.78;196.32;194;194.83;33800940
200625;000000;191.8;192.48;190.55;192.25;48747730
200626;000000;192.8;195.69;190.51;193;60289440
200629;000000;192.67;198.1;192.58;197.94;45797120
200630;000000;197.9;198.48;193.24;194.31;52228420
200702;000000;195.31;195.84;194.4;195.28;34114100
200703;000000;195.65;197.48;194.77;197.2;26423160
200706;000000;199.21;201.75;198.53;199.99;46417970
200707;000000;199.7;199.94;197.75;197.96;35182460
200708;000000;198;201.19;197.55;201.17;30730070
200709;000000;201.48;202;198.4;199.44;40355340
200710;000000;198.25;201.7;197.22;200.94;39028520
200713;000000;201.6;202.33;195.5;195.7;62999870
200714;000000;195.09;196.65;192.48;193.6;83060710
200715;000000;180.6;184.27;179.8;182.26;73463320
200716;000000;181.2;183.8;181.07;183.32;29409000
200717;000000;183.8;184.93;182.87;184.65;25471860
200720;000000;184.67;188.41;183.88;188.36;30010590
200721;000000;188.99;189.77;186.25;186.78;44388320
200722;000000;187.03;188.59;186.07;187.15;22767680
200723;000000;187.5;188.3;184.4;184.69;29769530
200724;000000;184.83;186.45;184.12;185.45;30313190
200727;000000;185.6;185.92;184.2;185.03;22734510
200728;000000;185.13;185.46;183.6;184.3;26633740
200729;000000;184.5;185.35;183.42;184.69;27882380
200730;000000;184.44;184.73;180.91;182.52;34011750
200731;000000;182.6;184.84;181.61;182.59;44920000
200803;000000;182.51;184.03;181.72;183.6;28651930
200804;000000;184.06;184.68;182.17;183.31;32428960
200805;000000;183.52;189.98;183.35;189.15;75423620
200806;000000;189.56;189.92;187.13;189.07;42849450
200807;000000;188.44;188.57;185.81;187.23;28808600
200810;000000;187.49;188.85;186.83;187.7;24226570
200811;000000;187.88;192.4;187.88;189.7;51902080
200812;000000;190.47;193.29;189.32;192.8;35583620
200813;000000;192.5;194.44;191.25;193.76;37819700
200814;000000;194.25;194.25;190.71;192.83;29780320
200817;000000;193.84;194.68;189.2;190.47;55677760
200818;000000;190.07;191.95;189.25;190.3;27776390
200819;000000;190.5;191.99;189;189.26;31452990
200820;000000;188.8;188.94;185.58;186.95;37649810
200821;000000;187.25;187.79;183.5;184.51;33830700
200824;000000;185.37;187.44;184.84;187.1;24264740
200825;000000;187.45;187.99;184.73;186.25;19552010
200826;000000;186.22;188;185;187.48;25456340
200827;000000;187.5;188.01;182.62;184.58;38183770
200828;000000;184.96;185.22;182.48;182.9;34291080
200831;000000;183.12;184.28;180.51;181.01;47459530
200901;000000;181.4;184.87;181.01;184.22;48007480
200902;000000;184.8;186.29;181.1;181.95;50239120
200903;000000;182.4;182.59;178.6;179.13;62908720
200904;000000;178.98;180.56;178;179.55;43008870
200907;000000;178.82;179.75;175.94;177.04;38983590
200908;000000;177;177.43;172.4;172.95;63837660
200909;000000;172.78;175.35;172.33;173.69;41967040
200910;000000;173.8;174.64;171.11;173.8;34012170
200911;000000;174.33;178.27;173.1;178.05;36889720
200914;000000;178.45;180.8;177.52;178.19;37563920
200915;000000;178.13;182.95;178.01;182.22;42445100
200916;000000;182.69;184.16;181.35;183.26;37370250
200917;000000;181.78;184.84;180.34;183.9;49663210
200918;000000;184.4;184.7;181.34;181.52;45215700
200921;000000;181.36;181.36;175.36;177.17;41282960
200922;000000;176.58;180.9;176.42;179;36380350
200923;000000;179.81;180.37;176.81;177;31848780
200924;000000;176;178.49;171.9;174.23;49687540
200925;000000;175.12;175.17;169.6;173.77;96284070
200928;000000;174.24;175.38;171.29;172.74;50397970
200929;000000;172.76;173.47;170;171.44;48779600
200930;000000;171.02;171.98;169.8;169.97;48605100
201001;000000;171.18;171.4;167.97;168.4;60296370
201002;000000;167.5;169.95;167.22;169.47;40191130
201005;000000;170.12;170.88;168.58;170.64;37393020
201006;000000;170.7;173.41;170.5;171.35;64082980
201007;000000;171.75;172.26;167.04;168.23;65800100
201008;000000;168.18;168.86;166.15;167.43;36621350
201009;000000;167.8;168.19;165.77;166.97;41514910
201012;000000;167.66;169.8;166.87;169.05;38899590
201013;000000;169.13;169.47;165.82;166.37;34687990
201014;000000;166.61;167.63;165.71;167.24;26679740
201015;000000;166.85;168.85;166;167.16;39889410
201016;000000;167.22;167.25;163.56;163.98;50402810
201019;000000;164.76;165.6;163;163.6;33916860
201020;000000;163.74;167.12;162.8;166.53;50468030
201021;000000;166.8;167.3;163.87;164.37;36678920
201022;000000;163.85;166.53;163.66;165.27;39939480
201023;000000;165.15;165.88;164.39;164.96;32909950
201026;000000;164.44;164.96;161.1;162.17;53436340
201027;000000;162.18;162.62;158.21;159.21;58268970
201028;000000;158.98;158.99;153.7;154.3;86858100
201029;000000;155.08;157.3;154.2;156.74;52752800
201030;000000;155.09;156.2;154.08;154.28;42661020
201102;000000;153.96;157.98;151.9;157.74;69600850
201103;000000;158.21;161.92;157.44;161.09;71067000
201105;000000;163.81;165.25;161.99;163.7;73016160
201106;000000;163;165.84;161.52;164.92;51633910
201109;000000;166.72;171.5;164.9;170.13;103358560
201110;000000;169.03;173.64;167.63;172.92;76531040
201111;000000;173.5;175.15;170.26;170.53;72020230
201112;000000;170.2;175.3;169.75;172.91;71917150
201113;000000;172.88;181.27;172.42;180.3;104602920
201116;000000;181.02;185.62;180.3;185.32;89217810
201117;000000;185.1;185.31;178.83;182.9;99307240
201118;000000;182.26;187.69;180.8;185;69101570
201119;000000;185.2;185.88;181.92;184.16;53164780
201120;000000;184.1;184.36;182.1;183.21;31836360
201123;000000;183.64;185.63;182.77;184.15;41043100
201124;000000;185.03;187.3;183.97;186.76;60674430
201125;000000;187.01;188.76;185.85;188.03;51107720
201126;000000;188.25;189.1;184.6;185.52;45706250
201127;000000;185.13;186.75;182.56;185.9;49983540
201130;000000;185.1;185.14;180.04;181.89;73156960
201201;000000;182.6;188.09;181.78;185.34;67193810
201202;000000;185;187.24;183.12;187.22;40191320
201203;000000;186.98;187.58;184.37;185.12;35885290
201204;000000;186.2;189.42;185.85;188.79;50684840
201207;000000;188.22;192.85;187.8;190.76;53512780
201208;000000;190.34;191.45;187.8;190;48382270
201209;000000;190.3;193.09;189.05;189.35;52678040
201210;000000;189.55;193.51;188.67;192.95;54318200
201211;000000;193.05;201.63;192.31;201.5;103060380
201214;000000;203.5;207.85;198.78;199.91;122788480
201215;000000;199.01;202.29;197.05;201;65473740
201216;000000;201.01;206.2;199.54;206.2;75214780
201217;000000;206.7;215.38;206.51;214.52;159538150
201218;000000;214;214.5;207.22;212.69;133717910
201221;000000;209.91;209.99;200.8;203.46;123517830
201222;000000;200.74;210.68;199.19;208.4;109794540
201223;000000;209;212.78;206.2;207.63;78877050
201224;000000;208.54;209.96;203.15;206.24;59081790
201225;000000;206.2;206.73;204.01;205.03;16517780
201228;000000;205.53;207.86;205.15;206.11;35038710
201229;000000;206.95;210;206.61;208.75;42353620
201230;000000;209.88;213.38;209.5;212.98;74667210
210104;000000;212.71;216.63;211.64;212.71;55195430
210105;000000;213.2;215.38;210.22;215.32;48913740
210106;000000;215.48;216.8;213.07;214.38;47897590
210108;000000;217.14;226.24;217;225.49;100717800
210111;000000;225.05;231;221.81;227.6;112506470
210112;000000;229;231.44;225.66;228.69;64309460
210113;000000;229.29;230.35;225.2;226.8;61102300
210114;000000;226.49;229.57;223.2;228.86;60003270
210115;000000;227.5;230.7;226;226.5;54765970
210118;000000;225.55;228.5;221.34;226.88;69147920
210119;000000;227.66;228.85;223;223.15;66619900
210120;000000;223;225.78;221.55;224.3;51248650
210121;000000;224.4;224.96;217.22;217.28;76701270
210122;000000;216.45;216.5;210.5;215.49;94721320
210125;000000;216.9;219.66;214.53;218.68;74456540
210126;000000;216.8;220.29;215.71;218.8;45114650
210127;000000;219.49;222;216.44;217.4;59271760
210128;000000;215.91;219.49;214.26;217.7;52341000
210129;000000;216.75;216.75;212.47;212.83;66744580
210201;000000;214.61;214.87;212.24;214.66;39314420
210202;000000;215.5;219.74;213.25;214.42;77924880
210203;000000;215.41;218.42;213.79;218.1;45974890
210204;000000;218.71;221.4;216.88;219.79;47881150
210205;000000;220.68;222.21;219;222.01;42127830
210208;000000;223.06;228;223;228;67144040
210209;000000;229;229.49;225.8;227.73;60518190
210210;000000;227.98;228.29;221.8;223.24;41883700
210211;000000;223.45;223.67;220.73;221.35;34480880
210212;000000;220.78;227.47;216.77;226.71;69179250
210215;000000;228.49;230;226.7;229.22;59793600
210216;000000;229.95;233.22;227.57;232.46;85667580
210217;000000;232.32;233.35;225.33;229.14;64532970
210218;000000;228.98;228.98;224.01;224.47;43762150
210219;000000;224.02;226.26;221.1;226;44854360
210220;000000;226.35;227.1;225;225.84;6053880
210222;000000;226.49;227.3;223.04;225.63;31412770
210224;000000;224.42;225.64;220.85;222.55;40792480
210225;000000;223.47;225.5;221.22;221.7;42722110
210226;000000;220.56;221.68;217.2;217.56;63735100
210301;000000;219.34;222.01;218.25;221.47;28373590
210302;000000;220;224.11;219.76;222.74;34140160
210303;000000;224.2;226.79;221.7;222.15;33225100
210304;000000;221.88;226.69;219.5;221.14;46417010
210305;000000;222.05;228.42;220.02;227;55786000
210309;000000;227.51;233.07;226.05;232.1;73759850
210310;000000;231.83;235.5;230.66;231.69;55372950
210311;000000;232.83;233.53;230.07;232.47;32131810
210312;000000;232.01;234.39;230.6;233.8;28819550
210315;000000;234.98;238.09;234.46;237.79;46121290
210316;000000;237.3;238.23;233.8;234.02;38029020
210317;000000;234;234.56;227.21;229.9;62072590
210318;000000;230.05;231.79;223.7;224.35;67581990
210319;000000;223.05;226.64;222.37;225.4;58484100
210322;000000;225.14;225.34;220.79;221.88;58491290
210323;000000;221.35;224.44;219.81;221.62;43094210
210324;000000;222.39;225.45;220.53;223.65;36700010
210325;000000;224.2;225.38;222.7;224.84;29735720
210326;000000;225.74;227.6;225.13;227.3;26672930
210329;000000;226.79;229.15;226.31;228.74;23752090
210330;000000;228.95;230.1;225.04;225.93;26818410
210331;000000;226.4;228.4;223.32;227.24;38847380
210401;000000;228.43;231.67;225.75;226.94;43823600
210402;000000;227;229.2;226.54;228.4;12621010
210405;000000;227.9;227.92;224.13;225.06;23919530
210406;000000;226.01;226.55;221.91;222.95;36223380
210407;000000;222.31;226.01;220.68;224.51;29483660
210408;000000;224.84;226.3;222.88;224.3;19420190
210409;000000;224.17;224.3;221.48;222.15;20902100
210412;000000;220.95;224.25;219.6;222.87;29206290
210413;000000;223.02;228.33;221.1;227.99;39063400
210414;000000;230.58;236.58;229.31;235.32;91895500
