<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
170918;000000;122.5;123.35;122.07;122.72;26878140
170919;000000;122.72;122.8;121.05;121.75;32095850
170920;000000;121.88;122.43;121.52;122.25;25978430
170921;000000;122.11;123.2;121.61;122.34;35204520
170922;000000;122.36;122.46;121.3;121.95;19164830
170925;000000;121.98;123.6;121.9;123.03;28206840
170926;000000;123.27;124.19;122.84;123.03;25695940
170927;000000;123.18;123.68;122.46;123.36;22485510
170928;000000;123.28;123.62;122.11;122.5;22610060
170929;000000;122.5;122.81;121.7;122.2;17182380
171002;000000;122.29;122.44;121.4;121.9;14198990
171003;000000;121.81;122.11;120.47;120.78;26873740
171004;000000;120.68;121.95;119.7;121.76;24254160
171005;000000;121.79;123.97;121.51;123.5;39979330
171006;000000;123.54;124.48;123.27;123.47;30270700
171009;000000;123.7;124.9;123.41;124.81;22035180
171010;000000;125;125.33;124.17;124.44;20064040
171011;000000;124.54;126;124.38;126;30323720
171012;000000;126.04;126.79;125.45;125.93;18051060
171013;000000;126;127.39;125.8;126.86;23707840
171016;000000;127.11;127.8;126.68;127.17;23771970
171017;000000;127.05;127.2;125.05;125.15;28299320
171018;000000;125.44;127.09;125.26;126.7;29571630
171019;000000;126.78;127.39;125.17;125.5;22518290
171020;000000;125.81;127.05;125.6;126.7;21042270
171023;000000;127.06;127.47;126.37;126.8;17286880
171024;000000;126.89;126.97;125.61;126.02;20349440
171025;000000;126.55;126.75;124.28;125;24125900
171026;000000;124.99;125.39;124.07;124.2;14719810
171027;000000;124.57;125.94;123.64;125.94;28566500
171030;000000;125.96;126.93;125.53;125.98;19229280
171031;000000;126.12;126.6;125.57;125.9;11847690
171101;000000;126.34;126.89;125.97;126.5;18167600
171102;000000;125.88;126;124.87;125.67;15528250
171103;000000;125.71;126.84;125.71;125.9;22607180
171107;000000;127.06;132.55;127.05;132.28;82128530
171108;000000;132.1;133.94;131.58;132.3;39337670
171109;000000;132.31;132.82;131.14;131.5;33846240
171110;000000;131.05;133.84;130.51;132.5;47096990
171113;000000;132.64;134.18;131.71;133.32;29445370
171114;000000;133.07;134.28;132.35;132.93;42176770
171115;000000;132.01;132.79;131.21;131.21;23233500
171116;000000;131.79;132.7;127.74;129.2;42097040
171117;000000;129.65;130.87;129.06;129.65;18113220
171120;000000;129.8;130.49;128.63;129.96;15642930
171121;000000;130.45;133.05;130.35;132.49;35516950
171122;000000;133.01;133.65;132.2;132.57;25079290
171123;000000;132.5;133.1;131.3;131.6;29101330
171124;000000;131.56;134.19;131.31;133.57;29025290
171127;000000;133.61;135.19;132.8;133.5;27676810
171128;000000;133.29;135.18;132.55;135.18;26653360
171129;000000;134.86;134.86;132.97;133.55;27221990
171130;000000;133;134.31;132;132.15;39953360
171201;000000;132.47;133.32;131.72;133.02;24739380
171204;000000;133.01;134;131.93;133.77;17805030
171205;000000;133.47;133.99;132.78;133.65;12681030
171206;000000;133.32;134.29;132.91;134;14625230
171207;000000;133.66;133.87;132.81;133.02;18187870
171208;000000;133.42;133.9;132;132.6;16027170
171211;000000;132.35;134.65;132.35;134.65;22727400
171212;000000;134.69;135.6;133.65;135.5;25137070
171213;000000;135.18;136.42;134.6;135.56;23251380
171214;000000;135.42;136.2;134.9;135.91;22537690
171215;000000;135.72;136.16;135;135.5;25066350
171218;000000;135.64;136.35;132.94;134.25;31018990
171219;000000;134.13;134.74;133.5;133.96;16458270
171220;000000;133.96;134.33;132.35;132.5;23877480
171221;000000;133;133.47;130.2;131.7;39251410
171222;000000;132.15;133.48;131.05;132.42;16550650
171225;000000;132.72;133.19;131.8;131.96;5658690
171226;000000;132.23;132.44;129.62;131.2;12765160
171227;000000;131.29;132.23;130.45;130.99;15957460
171228;000000;130.88;131.2;129.81;130.53;16271890
171229;000000;130.42;130.93;128.86;130.5;16285270
180103;000000;131.03;132.2;130.63;132.2;10522070
180104;000000;132.5;136.2;132.3;135.89;32092300
180105;000000;135.8;137.12;135.08;137.12;19965100
180109;000000;138;141.35;137.6;140;52204990
180110;000000;140.49;143.43;139.58;143.43;51756440
180111;000000;143.23;144.8;142.31;144.58;38571480
180112;000000;144.21;144.54;141.64;143.99;36760620
180115;000000;144.33;145.5;142.6;142.99;30037050
180116;000000;143.16;145.35;141.89;145.29;36982660
180117;000000;144.51;149.2;143.31;148.7;64088350
180118;000000;148.79;150.35;148.13;150.35;53857120
180119;000000;149.94;151;148.4;149.13;38996740
180122;000000;149.09;150.3;148.85;150.3;22745110
180123;000000;150.8;151.65;147.71;148.8;35760870
180124;000000;148.51;149.7;146.6;149.7;24826570
180125;000000;150.02;151.39;149.27;149.8;41825580
180126;000000;149.4;149.55;146.01;147.19;35266440
180129;000000;146.77;147.29;144.15;144.75;36073370
180130;000000;144;146.43;142.37;143.5;51240710
180131;000000;142.98;144.5;141.8;143.36;44234770
180201;000000;143.43;146.17;143.13;145.39;37413040
180202;000000;145.68;146.78;142.88;144;39050390
180205;000000;142.87;145.2;142.3;144.53;33048750
180206;000000;141.73;142.82;140.4;141.59;51830950
180207;000000;142.45;143.39;141;141;32853320
180208;000000;140.47;140.85;137.14;137.2;42662580
180209;000000;135.99;136.7;132.8;135.56;53098540
180212;000000;136.87;138.1;136.03;137.3;29360450
180213;000000;138;140.1;137.45;139.85;36398240
180214;000000;140.03;140.57;137.02;138.89;34106600
180215;000000;139.79;140.99;137.06;137.06;29054840
180216;000000;137.85;139.49;136.77;137.06;24628330
180219;000000;137.36;138.7;137.13;138.31;14431390
180220;000000;138.78;144.29;138.78;141.32;62769320
180221;000000;140.9;144;140.53;144;24886450
180222;000000;143.43;145.97;142.63;145.97;29870140
180226;000000;148.07;149.98;146.42;147;37150990
180227;000000;147.2;147.49;144.85;146.5;24771080
180228;000000;145.5;145.75;142.25;143.16;36217520
180301;000000;141;142;139.39;140.1;47285230
180302;000000;139.63;140.59;137.77;138.57;26799640
180305;000000;138.8;141.83;138.57;141.6;23220830
180306;000000;142.25;143.49;140.47;140.59;24358140
180307;000000;139.96;139.98;137.38;138.56;28189860
180309;000000;138.8;139.81;137.79;139.81;12080580
180312;000000;140.44;141.96;140.11;141.35;16899310
180313;000000;141.1;142.93;139.95;142.75;22899860
180314;000000;141.82;141.98;138.8;138.8;31765180
180315;000000;138.58;140.06;138;138.25;34232460
180316;000000;138.66;141;137.11;141;42459720
180319;000000;141.2;141.77;139.43;139.91;21582910
180320;000000;140.25;142.7;139.31;142.45;25931850
180321;000000;142.7;144;140.84;141.51;31141240
180322;000000;141.73;142.08;139.2;139.5;20677700
180323;000000;138.78;142.49;137.82;142;33554360
180326;000000;142.01;142.08;138.27;138.27;27556030
180327;000000;139.23;141.7;139.01;140.8;25427090
180328;000000;140.01;141.67;139.13;140.47;21273130
180329;000000;140.71;142.8;140.71;142.8;23762490
180330;000000;143;143.31;142.05;142.33;8337160
180402;000000;142.39;143.7;140.32;140.32;18501160
180403;000000;140.32;141.3;139.7;141.13;13758480
180404;000000;141.02;141.52;139.02;140.18;22247310
180405;000000;140.66;141.35;139.8;140.5;20436610
180406;000000;140.13;141.97;139.45;141.5;27346240
180409;000000;140.93;141.22;128.19;135.01;91006200
180410;000000;134.95;141.97;133.5;140.62;58453070
180411;000000;141;146.29;140.71;145.27;62134680
180412;000000;145.71;146.89;142.13;145.99;40706810
180413;000000;146;146.75;142.09;142.58;26381420
180416;000000;141.03;142.83;139.87;141.5;26630690
180417;000000;142.45;143.18;140.66;142.4;26680260
180418;000000;142.67;145.31;142.04;144.75;28080120
180419;000000;145.2;145.75;142.57;143.4;20518720
180420;000000;143.3;145.5;142.9;144.4;21147520
180423;000000;144.3;144.48;142;143.99;32633930
180424;000000;144;146.52;143.52;144.14;29007820
180425;000000;143.5;143.89;141.41;142.7;23792050
180426;000000;143.01;145.75;142.6;145.48;22254120
